[19-Oct-2023 05:55:07 UTC] PHP Parse error:  syntax error, unexpected '&&' (T_BOOLEAN_AND) in /Applications/MAMP/htdocs/ad5_lesson/function.php on line 20
[19-Oct-2023 05:55:08 UTC] PHP Parse error:  syntax error, unexpected '&&' (T_BOOLEAN_AND) in /Applications/MAMP/htdocs/ad5_lesson/function.php on line 20
[19-Oct-2023 05:55:10 UTC] PHP Parse error:  syntax error, unexpected '&&' (T_BOOLEAN_AND) in /Applications/MAMP/htdocs/ad5_lesson/function.php on line 20
[19-Oct-2023 05:55:10 UTC] PHP Parse error:  syntax error, unexpected '&&' (T_BOOLEAN_AND) in /Applications/MAMP/htdocs/ad5_lesson/function.php on line 20
[19-Oct-2023 05:55:10 UTC] PHP Parse error:  syntax error, unexpected '&&' (T_BOOLEAN_AND) in /Applications/MAMP/htdocs/ad5_lesson/function.php on line 20
[19-Oct-2023 05:55:10 UTC] PHP Parse error:  syntax error, unexpected '&&' (T_BOOLEAN_AND) in /Applications/MAMP/htdocs/ad5_lesson/function.php on line 20
[19-Oct-2023 05:55:11 UTC] PHP Parse error:  syntax error, unexpected '&&' (T_BOOLEAN_AND) in /Applications/MAMP/htdocs/ad5_lesson/function.php on line 20
[19-Oct-2023 05:55:11 UTC] PHP Parse error:  syntax error, unexpected '&&' (T_BOOLEAN_AND) in /Applications/MAMP/htdocs/ad5_lesson/function.php on line 20
[20-Oct-2023 06:34:05 UTC] PHP Parse error:  syntax error, unexpected 'search_sex' (T_STRING) in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 39
[20-Oct-2023 06:34:05 UTC] PHP Parse error:  syntax error, unexpected 'search_sex' (T_STRING) in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 39
[20-Oct-2023 06:34:06 UTC] PHP Parse error:  syntax error, unexpected 'search_sex' (T_STRING) in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 39
[20-Oct-2023 06:34:06 UTC] PHP Parse error:  syntax error, unexpected 'search_sex' (T_STRING) in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 39
[20-Oct-2023 06:34:06 UTC] PHP Parse error:  syntax error, unexpected 'search_sex' (T_STRING) in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 39
[20-Oct-2023 06:34:15 UTC] PHP Parse error:  syntax error, unexpected 'search_sex' (T_STRING) in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 39
[20-Oct-2023 06:34:19 UTC] PHP Parse error:  syntax error, unexpected 'search_sex' (T_STRING) in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 39
[20-Oct-2023 06:34:20 UTC] PHP Parse error:  syntax error, unexpected 'search_sex' (T_STRING) in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 39
[20-Oct-2023 06:34:20 UTC] PHP Parse error:  syntax error, unexpected 'search_sex' (T_STRING) in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 39
[20-Oct-2023 06:34:20 UTC] PHP Parse error:  syntax error, unexpected 'search_sex' (T_STRING) in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 39
[20-Oct-2023 06:35:22 UTC] PHP Parse error:  syntax error, unexpected 'search_sex' (T_STRING) in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 39
[23-Oct-2023 06:54:17 UTC] PHP Parse error:  syntax error, unexpected '.' in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 82
[23-Oct-2023 06:54:33 UTC] PHP Parse error:  syntax error, unexpected '.' in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 82
[23-Oct-2023 06:54:34 UTC] PHP Parse error:  syntax error, unexpected '.' in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 82
[23-Oct-2023 06:54:35 UTC] PHP Parse error:  syntax error, unexpected '.' in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 82
[23-Oct-2023 06:54:35 UTC] PHP Parse error:  syntax error, unexpected '.' in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 82
[23-Oct-2023 06:54:36 UTC] PHP Parse error:  syntax error, unexpected '.' in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 82
[23-Oct-2023 06:54:38 UTC] PHP Parse error:  syntax error, unexpected '.' in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 82
[23-Oct-2023 06:54:47 UTC] PHP Parse error:  syntax error, unexpected '.' in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 82
[23-Oct-2023 06:55:16 UTC] PHP Parse error:  syntax error, unexpected '.' in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 82
[23-Oct-2023 06:56:21 UTC] PHP Parse error:  syntax error, unexpected '.' in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 82
[23-Oct-2023 06:56:22 UTC] PHP Parse error:  syntax error, unexpected '.' in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 82
[23-Oct-2023 06:56:23 UTC] PHP Parse error:  syntax error, unexpected '.' in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 82
[23-Oct-2023 06:56:23 UTC] PHP Parse error:  syntax error, unexpected '.' in /Applications/MAMP/htdocs/ad5_lesson/search.php on line 82
